id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,AIRBAGS,PUERTAS,DIRECCIÓN,
2284150,https://www.carroya.com/detalle/usado/mazda/cx-5/2015/bogota/2284150,Mazda CX-5,2.0 4x4 Automatica High,$72.990.000,Bogota,80.793 km,2015,usado,Bogota,**7 Bogota,Automática,Gasolina,0,Rojo,,5,,
eec29a81-13e4-4a59-93a4-3046433c5bc6,https://www.carroya.com/detalle/usado/mazda/cx-3/2017/medellin/eec29a81-13e4-4a59-93a4-3046433c5bc6,Mazda CX-3,Touring Aut,$67.500.000,Medellin,70.000 km,2017,usado,Medellin,**5 Envigado,Automática,Gasolina,2.000,Café,,5,,
2260668,https://www.carroya.com/detalle/usado/mazda/3/2014/bogota/2260668,Mazda 3,1.6 Sedan Automatico,$41.890.000,Bogota,71.000 km,2014,usado,Bogota,**2 Bogota,Automática,Gasolina,1.600,Blanco,,,Asistencia Hidráulica,
02549a63-0ec0-4672-8013-8e49fcd98053,https://www.carroya.com/detalle/usado/mazda/cx-5/2020/bogota/02549a63-0ec0-4672-8013-8e49fcd98053,Mazda CX-5,Touring 2.0 Suv Automatico 4x2,$95.000.000,Bogota,51.000 km,2020,usado,Bogota,**7 Chia,Automática,Gasolina,2.000,Rojo,,5,,
4c471c4b-1a0e-4449-ab80-ff512f3e1050,https://www.carroya.com/detalle/usado/mazda/3/2024/bogota/4c471c4b-1a0e-4449-ab80-ff512f3e1050,Mazda 3,Skyactiv Touring Sedan Aut,$105.000.000,Bogota,6.700 km,2024,usado,Bogota,**5 Bogota,Automática,Gasolina,2.000,Gris,,,,
dfd2f8ee-6912-4669-9637-66d46458ea04,https://www.carroya.com/detalle/usado/mazda/2/2020/villavicencio/dfd2f8ee-6912-4669-9637-66d46458ea04,Mazda 2,1.5 Sport Grand Touring Aut LX,$67.000.000,Villavicencio,54.000 km,2020,usado,Villavicencio,**9 Restrepo,Automática,Gasolina,1.500,Azul,,,,
2273910,https://www.carroya.com/detalle/usado/mazda/bt-50/2012/bogota/2273910,Mazda BT-50,2200 Doble Cabina 4x2,$46.990.000,Bogota,108.000 km,2012,usado,Bogota,**8 Bogota,Mecánica,Gasolina,2.200,Rojo,,,,
4d09cf8f-6145-4ed1-a880-b527e04c1bff,https://www.carroya.com/detalle/usado/mazda/3/2016/cali/4d09cf8f-6145-4ed1-a880-b527e04c1bff,Mazda 3,2.0 Sedan Touring,$52.000.000,Cali,109.000 km,2016,usado,Cali,**0 Cali,Mecánica,Gasolina,2.000,Gris,,,,
2284074,https://www.carroya.com/detalle/usado/mazda/3/2018/bogota/2284074,Mazda 3,2.0 Grand Touring LX,$74.500.000,Bogota,52.000 km,2018,usado,Bogota,**0 Bogota,Automática,Gasolina,1.998,Gris,Airbags,,,
2284012,https://www.carroya.com/detalle/usado/mazda/2/2016/bogota/2284012,Mazda 2,1.5 Sport Touring Aut,$46.990.000,Bogota,112.000 km,2016,usado,Bogota,**4 Bogota,Automática,Gasolina,0,Azul,,,Asistencia Hidráulica,
f2e7fa5c-039b-4e5e-a231-16cca8a1e95a,https://www.carroya.com/detalle/usado/mazda/cx-5/2024/bogota/f2e7fa5c-039b-4e5e-a231-16cca8a1e95a,Mazda CX-5,Grand Touring 2.5 Automatica 4x4 Carbon Edition,$152.000.000,Bogota,10.000 km,2024,usado,Bogota,**8 Bogota,Automática,Gasolina,2.500,Gris,,,,
e3debd27-a0ca-417f-8d45-f5d0131e23e4,https://www.carroya.com/detalle/usado/mazda/bt-50/2013/facatativa/e3debd27-a0ca-417f-8d45-f5d0131e23e4,Mazda BT-50,2600 Chasis 4X4,$63.000.000,Facatativa,108.000 km,2013,usado,Facatativa,**0 Funza,Mecánica,Gasolina,26,Gris,,,,
bd5e2d0b-4a58-4502-b49e-1c494ee1f52a,https://www.carroya.com/detalle/usado/mazda/cx-5/2023/bogota/bd5e2d0b-4a58-4502-b49e-1c494ee1f52a,Mazda CX-5,Grand Touring 2.5 Suv Automatica 4x2,$135.000.000,Bogota,10.500 km,2023,usado,Bogota,**7 Bogota,Automática,Gasolina,2.500,Plateado,,5,,
19bdb0e1-bc5e-42e5-ada6-27a61a2137c5,https://www.carroya.com/detalle/usado/mazda/cx-30/2022/cali/19bdb0e1-bc5e-42e5-ada6-27a61a2137c5,Mazda CX-30,Grand Touring 2.0 Suv Automatico 4x2,$115.000.000,Cali,20.000 km,2022,usado,Cali,**6 Cali,Automática,Gasolina,20,Rojo,,null,,
f7b73556-f525-4862-b50c-5a15e2c7872c,https://www.carroya.com/detalle/usado/mazda/cx-5/2016/cali/f7b73556-f525-4862-b50c-5a15e2c7872c,Mazda CX-5,2.0 4x2 Automatica High,$71.000.000,Cali,105.000 km,2016,usado,Cali,**3 Cali,Automática,Gasolina,20,Blanco,,,,
4cc9df8a-fa5c-4dda-8e5d-eda5a74bca15,https://www.carroya.com/detalle/usado/mazda/3/2015/tunja/4cc9df8a-fa5c-4dda-8e5d-eda5a74bca15,Mazda 3,1.6 Sedan Mecanico,$53.000.000,Tunja,113.000 km,2015,usado,Tunja,**7 Floridablanca,Mecánica,Gasolina,1.998,Gris,,4,,
312b888d-b7de-4547-92f8-60b4f05b08eb,https://www.carroya.com/detalle/usado/mazda/3/2007/bogota/312b888d-b7de-4547-92f8-60b4f05b08eb,Mazda 3,1.6 Hatchback Automatico,$21.500.000,Bogota,147.000 km,2007,usado,Bogota,**4 Bogota,Automática,Gasolina,2.000,Plateado,,,,
