id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,PUERTAS,AIRBAGS,DIRECCIÓN,
2279001,https://www.carroya.com/detalle/usado/mazda/cx-5/2023/bogota/2279001,Mazda CX-5,Touring 2.5 Suv Automatico 4x2,$143.900.000,Bogota,54.500 km,2023,usado,Bogota,**9 Bogota,Automática,Gasolina,2.500,Rojo,,,Asistencia Hidráulica,
2279096,https://www.carroya.com/detalle/usado/fiat/argo/2022/bogota/2279096,Fiat Argo,Drive 1.3,$55.700.000,Bogota,15.995 km,2022,usado,Bogota,**4 Bogota,Automática,Gasolina,1.300,Plateado,,,Asistencia Hidráulica,
2278227,https://www.carroya.com/detalle/usado/volkswagen/taos/2022/bogota/2278227,Volkswagen Taos,1.4 Comfortline Select,$114.900.000,Bogota,7.734 km,2022,usado,Bogota,**7 Bogota,Automática,Gasolina,1.400,Gris,,,Asistencia Hidráulica,
2276137,https://www.carroya.com/detalle/usado/peugeot/2008/2017/chia/2276137,Peugeot 2008,1.6 Active,$58.100.000,Chia,70.145 km,2017,usado,Chia,**4 Bogota,Automática,Gasolina,1.600,Rojo,,,Asistencia Hidráulica,
2275396,https://www.carroya.com/detalle/usado/opel/grandland-x/2022/bogota/2275396,OPEL Grandland X,Edition 1.6 Suv Automatico,$98.300.000,Bogota,21.355 km,2022,usado,Bogota,**8 Bogota,Automática,Gasolina,1.600,Blanco,,,Asistencia Hidráulica,
2279435,https://www.carroya.com/detalle/usado/ford/explorer/2021/bogota/2279435,Ford Explorer,XLT 4x4,$169.500.000,Bogota,29.265 km,2021,usado,Bogota,**0 Bogota,Automática,Gasolina,2.300,Blanco,,,Asistencia Hidráulica,
2279028,https://www.carroya.com/detalle/usado/fiat/uno/2019/bogota/2279028,Fiat Uno,Way,$42.800.000,Bogota,57.998 km,2019,usado,Bogota,**6 Bogota,Mecánica,Gasolina,1.400,Plateado,,,Asistencia Hidráulica,
2279591,https://www.carroya.com/detalle/usado/peugeot/2008/2020/bogota/2279591,Peugeot 2008,1.6 Active,$68.100.000,Bogota,51.567 km,2020,usado,Bogota,**0 Bogota,Automática,Gasolina,1.600,Rojo,,,Asistencia Hidráulica,
2278992,https://www.carroya.com/detalle/usado/chevrolet/tracker/2018/bogota/2278992,Chevrolet Tracker,1.8 AWD LT Automatica,$63.000.000,Bogota,74.624 km,2018,usado,Bogota,**7 Bogota,Automática,Gasolina,1.800,Gris,,,Asistencia Hidráulica,
2277380,https://www.carroya.com/detalle/usado/mazda/cx-30/2021/bogota/2277380,Mazda CX-30,Grand Touring 2.0 Suv Automatico 4x2,$102.200.000,Bogota,24.840 km,2021,usado,Bogota,**4 Bogota,Automática,Gasolina,2.000,Gris,,,Asistencia Hidráulica,
2278053,https://www.carroya.com/detalle/usado/fiat/uno/2020/bogota/2278053,Fiat Uno,Way 1.4 Mecanico,$44.000.000,Bogota,45.735 km,2020,usado,Bogota,**6 Bogota,Mecánica,Gasolina,1.400,Rojo,,,Asistencia Hidráulica,
2278996,https://www.carroya.com/detalle/usado/ford/fiesta/2017/bogota/2278996,Ford Fiesta,1.6 Titanium Sporback Automatico,$50.700.000,Bogota,75.533 km,2017,usado,Bogota,**3 Boavita,Automática,Gasolina,1.600,Blanco,,,Asistencia Hidráulica,
2276481,https://www.carroya.com/detalle/usado/hyundai/accent/2023/bogota/2276481,Hyundai Accent,Advance,$79.990.000,Bogota,16 km,2023,usado,Bogota,**2 Bogota,Automática,Gasolina,1.600,Blanco,,,Asistencia Hidráulica,
2275229,https://www.carroya.com/detalle/usado/bmw/118i/2020/bogota/2275229,BMW 118i,Sport Line 1.5 Hatchback Automatico,$118.000.000,Bogota,21.793 km,2020,usado,Bogota,**6 Bogota,Automática,Gasolina,1.500,Plateado,,,Asistencia Hidráulica,
2278883,https://www.carroya.com/detalle/usado/volvo/v40/2019/bogota/2278883,Volvo V40,T4 R-Design,$96.600.000,Bogota,23.964 km,2019,usado,Bogota,**3 Bogota,Automática,Gasolina,2.000,Blanco,,,Asistencia Hidráulica,
2276933,https://www.carroya.com/detalle/usado/chevrolet/sail/2018/bogota/2276933,Chevrolet Sail,LTZ,,Bogota,78.445 km,2018,usado,Bogota,**1 Bogota,Mecánica,Gasolina,1.400,Blanco,,,Asistencia Hidráulica,
